term,coef,se,t,p,ci_low,ci_high
Intercept,7.556963902436275,0.2777624616670893,27.206570164594932,5.430568325866611e-163,7.012559481311593,8.101368323560957
C(year)[T.2016.0],2.663600449563117,1.214398239881468,2.19335005773979,0.02828216763717684,0.28342363650660696,5.043777262619628
C(year)[T.2017.0],2.745715469220696,1.8590915429968669,1.4769124627368193,0.13969910376510475,-0.8980369990161603,6.389467937457553
C(year)[T.2018.0],0.8444061330230177,0.7227027316796396,1.1684003615989194,0.24264530916508276,-0.5720651925977902,2.260877458643826
C(year)[T.2019.0],3.4143516640246707,0.6264982213718594,5.4498984155903525,5.039859882557701e-08,2.1864377137574245,4.642265614291917
C(year)[T.2020.0],0.9602812824060507,0.472301966597255,2.033193487049164,0.04203297881242912,0.03458643804799133,1.8859761267641102
C(year)[T.2021.0],1.5514217517779194,0.5652747692125867,2.7445444875224316,0.006059494078410034,0.4435035627520585,2.6593399408037803
C(year)[T.2022.0],1.9183937836410312,0.5591095129783404,3.4311592614868434,0.0006010076397359516,0.8225592747897541,3.0142282924923083
C(year)[T.2023.0],1.9335899058298325,0.6507539130506236,2.971307382179989,0.00296534821916692,0.6581356734521004,3.2090441382075645
C(year)[T.2024.0],4.127682054070114,1.0149746783897606,4.066783282336273,4.7666532914262985e-05,2.1383682392060583,6.116995868934169
C(year)[T.2025.0],3.7426870364195395,0.830605960574412,4.50597180139576,6.606986167301233e-06,2.1147292683493957,5.370644804489683
log_params,0.6803683788503428,0.08493825595487983,8.010152447817651,1.1456633923167182e-15,0.5138924562691336,0.8468443014315521
